,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,4,PF,1587948645,76,-23.12,-134.97,75.51,14.7
1,Mataura,96,NZ,1587948640,77,-46.19,168.86,55.99,11.99
2,Iqaluit,90,CA,1587948662,73,63.75,-68.51,23.0,13.87
3,Atuona,11,PF,1587948641,74,-9.8,-139.03,82.49,16.78
4,Smithers,90,CA,1587948656,61,54.78,-127.17,46.4,10.29
5,Quatre Cocos,5,MU,1587948933,91,-20.21,57.76,73.99,1.01
6,Mar del Plata,40,AR,1587948524,77,-38.0,-57.56,61.0,11.41
7,Lavrentiya,100,RU,1587948717,91,65.58,-171.0,24.82,5.68
8,Hobyo,46,SO,1587948724,75,5.35,48.53,84.09,12.37
9,La Ronge,75,CA,1587948721,69,55.1,-105.28,39.2,25.28
10,Westport,90,US,1587948495,87,41.14,-73.36,45.0,18.34
11,Burē,96,ET,1587948934,41,10.7,37.07,61.29,4.27
12,Yellowknife,75,CA,1587948448,31,62.46,-114.35,21.2,2.24
13,Busselton,2,AU,1587948467,70,-33.65,115.33,57.99,4.29
14,Russell,1,US,1587948934,30,32.35,-85.2,69.8,13.87
15,Qaanaaq,100,GL,1587948634,79,77.48,-69.36,36.52,13.96
16,Trairi,96,BR,1587948934,83,-3.28,-39.27,79.29,8.41
17,Rosário Oeste,41,BR,1587948935,79,-14.84,-56.43,76.39,3.2
18,Cape Town,40,ZA,1587948594,77,-33.93,18.42,64.99,24.16
19,Volot,75,RU,1587948935,89,57.93,30.7,32.32,3.71
20,Ormož,62,SI,1587948935,81,46.41,16.15,48.2,2.24
21,Carnarvon,86,AU,1587948660,60,-24.87,113.63,77.29,14.14
22,East London,74,ZA,1587948658,75,-33.02,27.91,65.52,5.7
23,Haines Junction,75,CA,1587948935,61,60.75,-137.51,34.92,2.04
24,Hamilton,1,US,1587948714,66,39.18,-84.53,53.6,6.93
25,Hobart,75,AU,1587948630,48,-42.88,147.33,62.6,16.11
26,Klaksvík,98,FO,1587948662,69,62.23,-6.59,39.2,10.29
27,Tilichiki,0,RU,1587948721,92,60.47,166.1,25.56,3.89
28,Jatai,0,BR,1587948850,72,-17.88,-51.71,65.57,6.38
29,Hermanus,100,ZA,1587948648,79,-34.42,19.23,63.0,14.0
30,San Patricio,5,MX,1587948671,74,19.22,-104.7,86.0,3.78
31,Aras,75,ES,1587948937,93,42.56,-2.36,55.4,1.12
32,Tuktoyaktuk,90,CA,1587948669,73,69.45,-133.04,21.2,10.29
33,Severnoye,0,RU,1587948937,64,56.35,78.36,45.55,4.09
34,Vaini,90,TO,1587948643,88,-21.2,-175.2,75.2,11.41
35,Takoradze,97,GH,1587948937,80,4.88,-1.76,78.57,6.67
36,Wajima,40,JP,1587948938,53,37.4,136.9,51.8,4.7
37,Ilulissat,93,GL,1587948650,41,69.22,-51.1,42.8,18.34
38,Mahébourg,12,MU,1587948678,91,-20.41,57.7,73.99,1.01
39,Saskylakh,99,RU,1587948653,95,71.92,114.08,18.03,11.5
40,Provideniya,65,RU,1587948664,79,64.38,-173.3,23.0,4.47
41,Lebu,94,CL,1587948645,90,-37.62,-73.65,56.48,15.5
42,Kikugawa,75,JP,1587948939,33,34.76,138.09,64.0,12.75
43,Ushuaia,54,AR,1587948448,69,-54.8,-68.3,39.2,4.7
44,Punta Arenas,64,CL,1587948644,71,-53.15,-70.92,35.6,4.7
45,Chapleau,5,CA,1587948939,35,47.84,-83.4,42.8,9.17
46,Castro,0,BR,1587948642,49,-24.79,-50.01,61.79,3.94
47,Hong Kong,20,HK,1587948670,73,22.29,114.16,75.99,4.7
48,Foki,94,RU,1587948939,77,56.69,54.35,44.02,5.84
49,Merauke,91,ID,1587948940,83,-8.47,140.33,82.6,11.36
50,Pavlohrad,90,UA,1587948940,81,48.52,35.87,42.8,20.13
51,Pisco,1,PE,1587948940,77,-13.7,-76.22,68.0,20.8
52,Orsk,90,RU,1587948940,100,51.2,58.57,44.6,6.71
53,Rocha,34,UY,1587948940,86,-34.48,-54.33,58.42,8.21
